geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.83035149905165,2.2445991999999997;"{""coordinates"": [2.2445992, 48.83035149905165], ""type"": ""Point""}";n10601034102;NON;4;;public;OUI;NON;inconnu;92012;Boulogne-Billancourt;2023-02-01T01:00:00+01:00;
48.731894899051,2.2890989000000004;"{""coordinates"": [2.2890989, 48.731894899051], ""type"": ""Point""}";n7124596360;NON;6;Médiathèque Jean Cocteau;public;NON;NON;arceaux;91377;Massy;2023-02-01T01:00:00+01:00;
48.82289229905158,2.254024499999999;"{""coordinates"": [2.2540245, 48.82289229905158], ""type"": ""Point""}";n8856981868;NON;10;;public;NON;NON;ratelier;92040;Issy-les-Moulineaux;2021-06-01T02:00:00+02:00;
48.85524959905182,2.3304708;"{""coordinates"": [2.3304708, 48.85524959905182], ""type"": ""Point""}";n5615712640;NON;16;;public;NON;NON;arceaux;75107;7e Arrondissement;2022-10-01T02:00:00+02:00;
48.856986199051825,2.3685203000000006;"{""coordinates"": [2.3685203, 48.856986199051825], ""type"": ""Point""}";n10259023513;NON;8;;public;NON;NON;arceaux;75111;11e Arrondissement;2022-12-01T01:00:00+01:00;
48.89517839905207,1.8694471999999995;"{""coordinates"": [1.8694472, 48.89517839905207], ""type"": ""Point""}";n9181096429;NON;4;;public;NON;NON;arceaux;78368;Mareil-sur-Mauldre;2021-10-01T02:00:00+02:00;
48.87516559905195,2.2940987;"{""coordinates"": [2.2940987, 48.87516559905195], ""type"": ""Point""}";n10049022938;NON;14;;public;NON;NON;arceaux;75117;17e Arrondissement;2022-09-01T02:00:00+02:00;
48.83306579905167,2.299913899999999;"{""coordinates"": [2.2999139, 48.83306579905167], ""type"": ""Point""}";n4348836974;NON;6;;public;NON;NON;arceaux;75115;15e Arrondissement;2018-05-01T02:00:00+02:00;
48.534375649049714,1.9916702999999993;"{""coordinates"": [1.9916703, 48.534375649049714], ""type"": ""Point""}";w560121152;OUI;0;;privee;NON;NON;inconnu;91200;Dourdan;2023-03-01T01:00:00+01:00;
48.89160449905205,2.4345829999999995;"{""coordinates"": [2.434583, 48.89160449905205], ""type"": ""Point""}";n8328669504;NON;6;;public;NON;NON;arceaux;93063;Romainville;2021-01-01T01:00:00+01:00;
48.8237663990516,2.3731847999999993;"{""coordinates"": [2.3731848, 48.8237663990516], ""type"": ""Point""}";n4379667792;NON;12;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-06-01T02:00:00+02:00;
48.90949449905218,2.244317099999999;"{""coordinates"": [2.2443171, 48.90949449905218], ""type"": ""Point""}";n10199908206;NON;8;;public;NON;NON;arceaux;92035;La Garenne-Colombes;2022-11-01T01:00:00+01:00;
48.82791789905165,2.3525862000000006;"{""coordinates"": [2.3525862, 48.82791789905165], ""type"": ""Point""}";n4348836973;NON;10;;public;NON;NON;arceaux;75113;13e Arrondissement;2016-08-01T02:00:00+02:00;
